City/Town,# Total households,% Households w/ cohabiting couples,% Households w/ 1+ people aged >=65,AVG Household size,AVG Family size,# Total population >=25,% Educated <9th grade,% Educated 9th-12th w/o diploma,% Educated w/ highschool diploma or equivalent,% Educated w/ some college,% Educated w/ associate's degree,% Educated w/ bachelor's degree,% Educated w/ grad/professional degree,% Educated w/ diploma or higher,% Educated w/ bachelors or higher,# Total civilian population,% Population w/ disablilty,% Population <18 w/ disability,% Population 18-64 w/ disability,% Population >65 w/ disability,# Population foreign-born,% Foreign-born not citizen,% Foreign-born entered >=2010,% Foreign-born entered <2010,# Total population >=5,% Population speaks english poorly,% Households w/ a computer,% Households w/ internet,# Total civilian labor force,% Workers worked from home,% Workers unpaid familly,% Population no health insurance,% Population in poverty,# Total occupied housing units,% Households no vehicle,% Households incomplete plumbing,% Households incomplete kitchen,% Households no telephone,% Households w/ 1.51 or more occupants/room,% Population <18,% Population >=18,% Population >=21,% Population >=65,% Population white,County subdivision,% Population minority,Latitude,Longitude,County,# Total population,# Total cases,# Total cases last 2 weeks,Avg # of cases last 2 weeks (per 100k),# Total tests,# Total tests last 2 weeks,# Total positive tests,% Positive tests last 2 weeks,% Infection rate,% Positive tests,% Infection rate last 2 weeks,% Testing rate last 2 weeks,% Testing rate,# Total positive tests last 2 weeks,% Population one or more doses,% Population fully vaccinated,% Vaccinated 65+ fully vaccinated,% Vaccinated 65+ one or more doses,% Vaccinated <65 fully vaccinated,% Vaccinated <65 one or more doses,% Vaccinated minority fully vaccinated,% Vaccinated minority one or more doses,% Vaccinated white fully vaccinated,% Vaccinated white one or more doses
Abington,6396,5.3,26.4,2.55,3.03,11793,2.2,3.2,27.6,17.8,10.2,27.0,12.1,94.7,39.1,16322,12.7,3.3,10.6,34.5,1429,45.6,27.6,72.4,15608,4.4,95.9,92.0,10012,2.5,0.4,1.9,4.1,6396,3.5,0.0,0.2,0.9,0.0,19.3,80.7,77.0,14.9,90.4,170,9.599999999999994,42.1048228,-70.9453218,Plymouth,18224,1685,40,15.677708178415665,31011,1384.0,45.0,0.03251445086705202,9.24604916593503,0.0014510979974847636,0.21949078138718175,7.594381035996488,170.1657155399473,45.0,49.791460871474044,35.35835802875645,75.70381797146163,87.11916698804474,28.66466184656728,43.598438799667285,39.225806451612904,63.61290322580645,32.65895953757225,44.815751445086704
Acton,8795,3.8,27.1,2.67,3.19,16321,2.2,1.2,7.9,8.3,5.5,31.3,43.6,96.5,74.9,23464,7.6,2.0,5.9,23.9,6332,45.6,21.1,78.9,22548,8.4,94.6,92.5,12762,8.0,0.1,0.8,3.3,8795,4.3,0.2,0.8,0.7,0.4,24.6,75.4,72.2,15.4,68.9,380,31.099999999999994,42.48509310000001,-71.43284,Middlesex,23727,934,22,6.622737336036187,45310,2164.0,24.0,0.011090573012939002,3.936443713912421,0.00052968439638049,0.09272137227630968,9.12041134572428,190.96388081089054,24.0,65.82507903055848,42.26343519494205,86.73523206751055,95.64873417721519,33.80324085687052,60.15150755029348,27.877896285399046,56.36876302562217,47.458287346620786,66.81815230799195
Acushnet,4094,11.0,35.2,2.57,2.92,8009,8.5,6.6,37.3,15.7,9.7,17.4,4.9,84.9,22.2,10529,12.6,6.8,9.9,25.8,1157,23.3,14.1,85.9,9956,5.2,87.6,79.8,5982,3.3,2.1,1.1,4.3,4094,3.6,0.0,0.0,1.2,0.5,16.2,83.8,81.0,20.1,91.8,520,8.200000000000003,41.7223696,-70.8952337,Bristol,10449,1308,35,23.925089810630375,22041,849.0,38.0,0.0447585394581861,12.517944300890038,0.00172405970690985,0.3349602832806967,8.1251794430089,210.93884582256678,38.0,48.35343672219031,36.54987555044993,74.2564602632862,85.6655290102389,27.33770101250744,39.23764145324598,24.22145328719723,58.82352941176471,33.583415597235934,43.800592300098714
Adams,3749,6.4,31.5,2.16,2.83,6202,2.9,8.3,38.5,16.3,9.2,16.3,8.4,88.8,24.8,8125,14.6,5.2,10.9,35.4,256,38.7,32.4,67.6,7704,1.9,87.9,81.0,4438,2.0,0.2,1.6,11.2,3749,10.3,0.0,0.1,0.7,0.2,17.2,82.8,80.6,19.1,96.2,555,3.799999999999997,42.6242251,-73.11743440000002,Berkshire,8227,333,14,12.154456097195293,14748,828.0,15.0,0.018115942028985508,4.047647988331105,0.0010170870626525631,0.17017138689680322,10.064422025039505,179.2634009967181,15.0,51.8239299610895,37.57295719844358,76.1744966442953,88.36689038031321,26.848974518334366,41.67184586699813,10.062893081761008,44.0251572327044,36.822050044455736,49.99364918074431
Agawam,11829,6.9,35.5,2.38,3.03,21598,1.5,5.2,30.4,19.4,10.3,20.4,12.8,93.3,33.2,28153,12.5,7.3,8.4,29.5,2305,20.4,7.7,92.3,27212,3.8,89.7,83.9,15609,4.5,0.1,3.2,7.9,11829,8.0,0.2,1.8,2.0,0.1,18.9,81.1,78.7,21.4,93.4,840,6.599999999999994,42.0695391,-72.6148117,Hampden,28496,2600,65,16.292919444441875,64603,2841.0,73.0,0.025695177754311863,9.124087591240876,0.0011299784839713326,0.22810218978102187,9.969820325659743,226.70901179112857,73.0,48.50665075632612,33.667918436107115,62.962399147511036,75.78017963160299,24.890530925013685,40.33479292099982,22.768742562475207,38.23879412931376,31.524898275527995,44.84014725828328
Alford,198,3.0,59.1,2.18,2.54,358,1.4,2.8,19.0,21.8,2.8,21.5,30.7,95.8,52.2,431,16.7,0.0,9.4,28.4,26,34.6,0.0,100.0,400,3.5,93.9,89.4,199,9.5,0.0,2.6,5.8,198,1.0,0.0,0.0,1.0,0.0,14.8,85.2,85.2,45.7,96.1,975,3.9000000000000057,42.2356442,-73.41344559999997,Berkshire,462,4,0,0.0,234,6.0,0.0,0.0,0.8658008658008658,0.0,0.0,1.2987012987012987,50.649350649350644,0.0,,,,,,,,,,
Amesbury,7215,6.0,27.8,2.37,2.98,12633,1.1,4.7,26.0,17.3,9.8,25.6,15.5,94.2,41.1,17204,13.4,7.4,10.5,32.8,752,30.3,17.4,82.6,16675,1.0,92.8,87.8,10231,7.7,0.2,1.5,6.3,7215,6.8,0.7,1.2,1.3,0.1,19.7,80.3,76.7,16.8,96.1,1260,3.9000000000000057,42.8583925,-70.93003759999998,Essex,16598,1075,24,10.32825037035823,31319,1181.0,26.0,0.02201524132091448,6.476683937823833,0.0008301669912832466,0.14459573442583443,7.1153150982046025,188.6914086034462,26.0,58.97312281547548,43.50970230203688,84.3963963963964,95.78378378378378,35.29922570374123,51.58115637889862,30.985915492957744,48.655569782330346,41.29772929087911,55.404033997209176
Amherst,9162,6.8,28.2,2.54,2.96,12963,2.5,2.2,13.5,11.0,5.1,23.5,42.1,95.3,65.7,39701,7.0,4.6,5.3,24.9,7032,64.2,46.1,53.9,39018,5.6,96.6,91.2,20304,9.1,0.1,3.1,27.5,9162,10.3,0.1,0.2,0.9,1.1,9.2,90.8,54.1,9.1,74.1,1325,25.900000000000006,42.3732216,-72.5198537,Hampshire,40259,2695,54,9.580764660792399,448692,36470.0,60.0,0.0016451878256100905,6.69415534414665,0.0001337220186675938,0.13413149854690878,90.58843985195857,1114.5135249261034,60.0,39.31308749096168,22.663292359604725,85.60338743824983,97.34180192895789,15.478396304949113,32.68884771341873,11.465209803475226,29.31937172774869,24.978991596638657,37.4124649859944
Andover,12801,3.1,27.5,2.67,3.15,24143,1.4,1.4,8.8,8.5,5.4,34.9,39.6,97.2,74.5,35548,6.6,2.8,4.0,24.4,6247,37.6,14.9,85.1,34099,5.3,96.9,95.0,19283,8.6,0.1,1.3,4.1,12801,3.1,0.1,0.8,0.6,0.0,24.2,75.8,71.6,14.8,79.9,1465,20.099999999999994,42.6583356,-71.1367953,Essex,36064,2762,73,14.458403164308832,99969,3778.0,91.0,0.024086818422445738,7.658606921029282,0.0009102821874781182,0.2024179236912156,10.475820763087844,277.1988686779059,91.0,60.69269591259497,43.36143308746048,81.23550844650546,87.76084796290162,35.74473754329869,55.24913402611244,29.38240074297655,49.58207569073601,43.49715203738864,58.15320578355484
Aquinnah,176,10.2,38.1,3.02,3.59,351,1.7,0.6,21.4,19.7,6.8,31.9,17.9,97.7,49.9,531,5.8,0.0,9.2,5.8,7,28.6,0.0,100.0,489,0.0,93.2,91.5,280,17.7,0.7,4.0,6.6,176,0.0,0.0,0.0,4.0,0.0,29.6,70.4,68.9,19.4,66.9,1585,33.099999999999994,41.3352369,-70.8007864,Dukes,260,4,0,0.0,587,12.0,0.0,0.0,1.5384615384615385,0.0,0.0,4.615384615384616,225.76923076923077,0.0,,,,,,,,,,
Arlington,19065,5.3,29.6,2.36,3.0,33360,1.8,1.6,12.3,9.5,4.0,29.9,41.0,96.6,70.9,45065,8.9,1.9,5.2,32.2,8874,52.0,27.8,72.2,42236,5.7,93.0,90.6,26255,7.1,0.0,1.3,5.2,19065,11.5,0.1,0.4,1.1,0.2,21.3,78.7,76.6,16.7,79.7,1605,20.299999999999997,42.4153925,-71.15647290000003,Middlesex,45827,1846,18,2.8055737231856055,121583,5546.0,22.0,0.003966822935448972,4.028192986667248,0.00018094634940740072,0.03927815479957231,12.102035917690444,265.3086608331333,22.0,66.29059008379889,45.93662709497207,79.74698795180723,87.16867469879517,38.458053512418715,61.67252958106811,30.334288443170966,50.238777459407835,46.82624612785131,64.99295972965362
Ashburnham,2031,4.9,26.3,2.98,3.23,4239,0.8,1.8,24.4,21.4,11.9,27.2,12.6,97.4,39.8,6281,7.4,1.1,7.7,17.2,121,33.9,19.0,81.0,5791,0.9,96.9,93.6,3647,8.1,1.4,0.0,1.8,2031,1.1,0.0,0.0,1.1,0.0,24.5,75.5,70.2,13.2,97.4,1885,2.5999999999999943,42.635545,-71.9097394,Worcester,6286,401,8,9.089747151943877,14533,923.0,13.0,0.014084507042253521,6.379255488386891,0.0008945159292644327,0.12726694241170855,14.683423480750877,231.19630925867006,13.0,48.750596848639184,35.03103612923763,86.78038379530916,99.36034115138592,25.949485500467727,39.869036482694106,10.909090909090908,28.18181818181818,33.74346873419855,46.21607955503118
